kernel,n,threads,chunk,reps,mean_s,std_s,metric,unit
poly32,262144,16,0,400,1.181779e-04,9.123555e-06,141.9658,GFLOP/s
poly32,262144,16,4096,400,7.463329e-05,2.809319e-06,224.7954,GFLOP/s
poly32,262144,16,16384,400,1.144631e-04,5.124462e-06,146.5731,GFLOP/s
poly32,262144,16,65536,400,1.128804e-04,4.686210e-06,148.6282,GFLOP/s
poly32,262144,16,262144,400,1.129803e-04,4.587310e-06,148.4968,GFLOP/s
poly32,262144,28,0,400,8.854350e-05,8.924347e-06,189.4799,GFLOP/s
poly32,262144,28,4096,400,7.385433e-05,3.963198e-06,227.1663,GFLOP/s
poly32,262144,28,16384,400,8.737433e-05,4.003586e-06,192.0154,GFLOP/s
poly32,262144,28,65536,400,8.824197e-05,4.493548e-06,190.1274,GFLOP/s
poly32,262144,28,262144,400,8.749755e-05,4.097505e-06,191.7450,GFLOP/s
poly32,1048576,16,0,400,3.895490e-04,1.339708e-05,172.2732,GFLOP/s
poly32,1048576,16,4096,400,1.739786e-04,7.118639e-06,385.7305,GFLOP/s
poly32,1048576,16,16384,400,2.088887e-04,3.815530e-06,321.2661,GFLOP/s
poly32,1048576,16,65536,400,3.876309e-04,1.390593e-05,173.1257,GFLOP/s
poly32,1048576,16,262144,400,3.846226e-04,1.232212e-05,174.4798,GFLOP/s
poly32,1048576,28,0,400,2.435904e-04,1.618110e-05,275.4989,GFLOP/s
poly32,1048576,28,4096,400,1.695768e-04,8.863765e-06,395.7433,GFLOP/s
poly32,1048576,28,16384,400,2.091422e-04,1.276074e-05,320.8767,GFLOP/s
poly32,1048576,28,65536,400,2.429966e-04,1.302323e-05,276.1720,GFLOP/s
poly32,1048576,28,262144,400,2.437837e-04,1.348157e-05,275.2803,GFLOP/s
poly32,4194304,16,0,177,1.695661e-03,1.084469e-04,158.3072,GFLOP/s
poly32,4194304,16,4096,374,8.033007e-04,2.991851e-05,334.1656,GFLOP/s
poly32,4194304,16,16384,379,7.919966e-04,4.504536e-05,338.9351,GFLOP/s
poly32,4194304,16,65536,362,8.287477e-04,2.574982e-05,323.9049,GFLOP/s
poly32,4194304,16,262144,178,1.688063e-03,6.513981e-05,159.0198,GFLOP/s
poly32,4194304,28,0,287,1.046137e-03,8.141087e-05,256.5969,GFLOP/s
poly32,4194304,28,4096,394,7.622180e-04,5.263761e-05,352.1767,GFLOP/s
poly32,4194304,28,16384,400,7.369966e-04,4.026403e-05,364.2289,GFLOP/s
poly32,4194304,28,65536,354,8.476970e-04,3.152281e-05,316.6644,GFLOP/s
poly32,4194304,28,262144,300,1.003281e-03,2.064802e-05,267.5576,GFLOP/s
poly32,16777216,16,0,40,7.653431e-03,2.680336e-04,140.2955,GFLOP/s
