kernel,rep,import_s,compile_s,first_exec_s,second_exec_s,compiler_lock_s,llvm_lock_s
saxpy,0,0.0947,0.1001,0.0,0.0,0.1001,0.0286
saxpy,1,0.0942,0.0984,0.0,0.0,0.0984,0.0279
saxpy,2,0.094,0.0989,0.0,0.0,0.0989,0.028
saxpy,3,0.0939,0.0979,0.0,0.0,0.0978,0.028
saxpy,4,0.094,0.098,0.0,0.0,0.0979,0.0279
reduce,0,0.0939,0.091,0.0,0.0,0.0909,0.0228
reduce,1,0.0937,0.0918,0.0,0.0,0.0918,0.0229
reduce,2,0.0939,0.0906,0.0,0.0,0.0906,0.023
reduce,3,0.0935,0.0903,0.0,0.0,0.0903,0.023
reduce,4,0.0937,0.0908,0.0,0.0,0.0908,0.0228
stencil2d,0,0.0943,0.1273,0.0,0.0,0.1273,0.0458
stencil2d,1,0.094,0.1277,0.0,0.0,0.1276,0.0453
stencil2d,2,0.0945,0.126,0.0,0.0,0.126,0.0452
stencil2d,3,0.0938,0.1263,0.0,0.0,0.1262,0.045
stencil2d,4,0.0945,0.1259,0.0,0.0,0.1258,0.0451
arrayexpr,0,0.0954,0.1949,0.0,1e-06,0.1948,0.085
arrayexpr,1,0.0939,0.1925,0.0,1e-06,0.1925,0.0834
arrayexpr,2,0.0935,0.1923,0.0,2e-06,0.1923,0.0831
arrayexpr,3,0.0941,0.1927,0.0,2e-06,0.1927,0.0829
arrayexpr,4,0.0939,0.1922,0.0,1e-06,0.1922,0.0833
poly16,0,0.094,0.0994,0.0,0.0,0.0994,0.0267
poly16,1,0.0948,0.101,0.0,1e-06,0.101,0.027
poly16,2,0.0944,0.1005,0.0,0.0,0.1005,0.027
poly16,3,0.0942,0.1007,0.0,0.0,0.1006,0.0268
poly16,4,0.094,0.1,0.0,1e-06,0.1,0.0266
matmul3,0,0.0952,0.1134,0.0,0.0,0.1134,0.0336
matmul3,1,0.094,0.1128,0.0,0.0,0.1128,0.0333
matmul3,2,0.093,0.1123,0.0,0.0,0.1123,0.0333
matmul3,3,0.0938,0.1136,0.0,0.0,0.1136,0.0337
matmul3,4,0.0938,0.1132,0.0,0.0,0.1132,0.0333
branchy,0,0.094,0.1003,0.0,1e-06,0.1003,0.0258
branchy,1,0.0941,0.1,0.0,1e-06,0.0999,0.0257
branchy,2,0.0939,0.1016,0.0,1e-06,0.1015,0.0258
branchy,3,0.0943,0.0998,0.0,1e-06,0.0997,0.0255
branchy,4,0.0941,0.1002,0.0,1e-06,0.1002,0.0257
prange_saxpy,0,0.123,0.1776,0.0001,1.6e-05,0.1776,0.0818
prange_saxpy,1,0.1226,0.178,0.0001,1.4e-05,0.1779,0.0823
prange_saxpy,2,0.1222,0.1755,0.0001,1.5e-05,0.1754,0.0816
prange_saxpy,3,0.1224,0.1762,0.0001,1.4e-05,0.1762,0.0829
prange_saxpy,4,0.1221,0.1756,0.0001,1.4e-05,0.1756,0.0814
