chain,accs,dtype,block_lines,block_flops,mca_cyc_dep,mca_cyc_rt,pred_fpc_dep,pred_fpc_rt,meas_fpc,gflops
8,1,float64,16,64,4.46,4.0,14.35,16.0,4.249,23.39
16,1,float64,24,128,8.68,8.0,14.747,16.0,7.232,39.25
32,1,float64,40,256,19.34,16.0,13.237,16.0,8.711,45.88
48,1,float64,56,384,38.43,24.0,9.992,16.0,7.77,41.41
64,1,float64,72,512,62.97,32.0,8.131,16.0,6.842,36.29
80,1,float64,88,640,92.3,40.0,6.934,16.0,6.065,32.32
96,1,float64,104,768,124.5,48.0,6.169,16.0,5.839,30.98
104,1,float64,22,26,7.07,6.5,3.678,4.0,1.407,7.44
112,1,float64,22,32,64.15,8.0,0.499,4.0,1.336,7.09
128,1,float64,22,32,64.15,8.0,0.499,4.0,1.218,6.44
160,1,float64,26,40,80.15,10.0,0.499,4.0,1.079,5.73
8,2,float64,18,64,4.38,4.0,14.612,16.0,4.485,23.13
16,2,float64,26,128,8.41,8.0,15.22,16.0,7.555,40.63
32,2,float64,42,256,16.49,16.0,15.525,16.0,10.659,56.25
48,2,float64,58,384,24.76,24.0,15.509,16.0,10.589,55.9
64,2,float64,74,512,34.13,32.0,15.001,16.0,9.735,51.17
80,2,float64,90,640,49.64,40.0,12.893,16.0,9.009,47.41
96,2,float64,106,768,65.29,48.0,11.763,16.0,8.325,43.95
104,2,float64,114,832,73.75,52.0,11.281,16.0,8.036,42.42
112,2,float64,122,896,83.53,56.0,10.727,16.0,7.746,41.98
128,2,float64,23,32,35.15,8.0,0.91,4.0,1.927,10.16
160,2,float64,27,40,43.15,10.0,0.927,4.0,1.746,9.25
8,4,float64,22,64,4.38,4.0,14.612,16.0,4.849,22.62
16,4,float64,32,128,8.4,8.0,15.238,16.0,8.116,40.4
32,4,float64,48,256,16.44,16.0,15.572,16.0,11.326,58.81
48,4,float64,64,384,24.45,24.0,15.706,16.0,12.582,64.97
64,4,float64,80,512,32.49,32.0,15.759,16.0,12.435,64.54
80,4,float64,96,640,40.53,40.0,15.791,16.0,12.102,62.99
96,4,float64,112,768,48.73,48.0,15.76,16.0,11.429,59.82
104,4,float64,120,832,52.85,52.0,15.743,16.0,11.03,57.74
112,4,float64,128,896,56.98,56.0,15.725,16.0,10.625,55.54
128,4,float64,144,1024,69.09,64.0,14.821,16.0,10.095,52.71
160,4,float64,30,40,26.16,10.0,1.529,4.0,2.972,15.59
8,1,float32,16,128,4.46,4.0,28.7,32.0,9.014,65.41
16,1,float32,24,256,8.68,8.0,29.493,32.0,14.776,94.04
32,1,float32,40,512,19.34,16.0,26.474,32.0,17.462,97.93
48,1,float32,56,768,38.43,24.0,19.984,32.0,15.638,84.49
64,1,float32,72,1024,62.97,32.0,16.262,32.0,13.699,73.69
80,1,float32,88,1280,92.3,40.0,13.868,32.0,12.118,64.59
96,1,float32,104,1536,124.5,48.0,12.337,32.0,11.142,59.54
104,1,float32,22,26,7.07,6.5,3.678,4.0,1.417,7.49
112,1,float32,22,32,64.15,8.0,0.499,4.0,1.338,7.09
128,1,float32,22,32,64.15,8.0,0.499,4.0,1.223,6.47
160,1,float32,26,40,80.15,10.0,0.499,4.0,1.081,5.72
8,2,float32,18,128,4.38,4.0,29.224,32.0,9.588,65.68
16,2,float32,26,256,8.41,8.0,30.44,32.0,16.141,101.61
32,2,float32,42,512,16.49,16.0,31.049,32.0,21.552,120.72
48,2,float32,58,768,24.76,24.0,31.018,32.0,21.294,116.91
64,2,float32,74,1024,34.13,32.0,30.003,32.0,19.473,104.57
80,2,float32,90,1280,49.64,40.0,25.786,32.0,18.027,96.48
96,2,float32,106,1536,65.29,48.0,23.526,32.0,16.634,89.27
104,2,float32,114,1664,73.75,52.0,22.563,32.0,16.967,91.32
112,2,float32,122,1792,83.53,56.0,21.453,32.0,15.943,84.35
128,2,float32,23,32,35.15,8.0,0.91,4.0,1.951,10.27
160,2,float32,27,40,43.15,10.0,0.927,4.0,1.75,9.23
8,4,float32,22,128,4.38,4.0,29.224,32.0,10.007,54.99
16,4,float32,32,256,8.4,8.0,30.476,32.0,16.862,100.2
32,4,float32,48,512,16.44,16.0,31.144,32.0,23.305,128.83
48,4,float32,64,768,24.45,24.0,31.411,32.0,25.322,135.69
64,4,float32,80,1024,32.49,32.0,31.517,32.0,24.904,138.91
80,4,float32,96,1280,40.53,40.0,31.582,32.0,24.31,129.0
96,4,float32,112,1536,48.73,48.0,31.521,32.0,22.924,121.54
104,4,float32,120,1664,52.85,52.0,31.485,32.0,22.168,117.37
112,4,float32,128,1792,56.98,56.0,31.45,32.0,21.247,113.0
128,4,float32,144,2048,69.09,64.0,29.642,32.0,20.132,107.12
160,4,float32,30,40,26.16,10.0,1.529,4.0,2.996,15.75
